id,nombre_completo,email_corporativo,cargo,empresa,sector,tamaño_empresa,fuente_lead,visitas_web,emails_abiertos,clicks_enlaces,descargo_whitepaper,pidio_demo,status_final,score_perfil,score_comportamiento,lead_score,segmento
1,Albano Llopis Hierro,albanoll@desarrolloespañolass.l..com,Gerente de Ventas,Desarrollo Españolas S.L.,Finanzas,Micro,Email,6,4,0,False,True,Convertido,30,50,80,Hot Lead
2,Antonia del Antón,antoniadelanton@familiagils.a.u.com.es,Director Comercial,Familia Gil S.A.U,Tecnología,Enterprise,Referido,14,7,4,False,False,Perdido,50,17,67,Warm Lead
3,Alba Mar Flor Rivas,albamarf@supermercadosintegraless.l.l..com,Director de Tecnología,Supermercados Integrales S.L.L.,Finanzas,Pyme,Formulario,21,1,0,False,False,Perdido,45,11,56,Warm Lead
4,Reynaldo Cuervo Rocamora,reynaldocuervorocamora@lobo&asociadoss.a.t..es,Director de Ventas,Lobo & Asociados S.A.T.,Retail,Enterprise,Linkedin,35,4,4,False,False,Perdido,40,14,54,Warm Lead
5,Aroa Bru Pinto,aroabrup@mineriafpls.coop..com,VP de Ventas,Minería FPL S.Coop.,Salud,Pyme,Formulario,6,3,2,False,False,Perdido,35,9,44,Warm Lead
6,Ani Marcos Pardo,animarcospardo@comercializadoracastellanas.l..com.es,Marketing Manager,Comercializadora Castellana S.L.,Finanzas,Enterprise,Email,10,4,1,True,True,Perdido,40,50,90,Hot Lead
7,Aníbal Teófilo Guerrero Cabrero,anibalteofiloguerrerocabrero@loboysantanas.l..com,Sales Manager,Lobo y Santana S.L.,Salud,Enterprise,Web,2,1,1,False,False,Perdido,30,3,33,Cold Lead
8,Candelas Pellicer Padilla,candelaspellicerpadilla@inmobiliariaespañolas.coop..es,Ejecutivo Comercial,Inmobiliaria Española S.Coop.,Salud,Enterprise,Email,29,2,1,True,False,Perdido,25,22,47,Warm Lead
9,Juanito Hierro Cárdenas,juanitoh@reynaldolermagimenezs.l..com,Coordinador de Ventas,Reynaldo Lerma Gimenez S.L.,Educación,Pyme,Web,32,7,0,False,False,Perdido,35,17,52,Warm Lead
10,Darío Antón Moles,darioantonmoles@lealybatallas.a.t..es,Director de Estrategia,Leal y Batalla S.A.T.,Retail,Enterprise,Referido,38,7,4,True,True,Perdido,40,50,90,Hot Lead
11,Valentina Miranda-Garcia,v.valentinamiranda-garcia@ruysegarraclaveros.c.p.com,Gerente de Ventas,Ruy Segarra Clavero S.C.P,Educación,Pyme,Linkedin,18,6,1,False,False,Perdido,25,16,41,Warm Lead
12,Ramón del Romero,r.ramondelromero@paredesygimenezs.l.u..com,Director Comercial,Paredes y Gimenez S.L.U.,Salud,Enterprise,Formulario,40,8,4,True,True,Convertido,40,50,90,Hot Lead
13,José Manuel Uriarte Bou,josemanueluriartebou@familiacoronados.l..es,Asistente Comercial,Familia Coronado S.L.,Tecnología,Enterprise,Linkedin,7,2,1,False,False,Perdido,35,9,44,Warm Lead
14,María Bartolomé Plaza,mariabar@soleyangels.c.p.com,VP de Ventas,Solé y Ángel S.C.P,Retail,Micro,Web,42,7,4,True,True,Convertido,30,50,80,Hot Lead
15,Teodora de Carbó,teodoradecarbo@manufacturascantonyasociadoss.com..es,Asistente Comercial,Manufacturas Cantón y asociados S.Com.,Salud,Enterprise,Email,41,5,3,False,False,Perdido,25,15,40,Warm Lead
16,Abril Lago Valle,abrillagovalle@construccionmartins.l.l..com.es,CEO,Construcción Martín S.L.L.,Educación,Enterprise,Web,0,0,0,False,False,Perdido,40,0,40,Warm Lead
17,María Fernanda Flor,mariafer@promocionescuellars.coop..com,CTO,Promociones Cuéllar S.Coop.,Finanzas,Enterprise,Cold Call,8,5,4,False,False,Perdido,50,13,63,Warm Lead
18,Ágata Abascal,a.agataabascal@torres&asociadoss.a..com,Gerente de Ventas,Torres & Asociados S.A.,Tecnología,Enterprise,Referido,26,7,5,True,False,Perdido,40,27,67,Warm Lead
19,Valeria Meléndez Heras,valeriam@grupobermudezs.a..com,VP de Ventas,Grupo Bermúdez S.A.,Finanzas,Micro,Web,34,7,1,False,True,Convertido,40,50,90,Hot Lead
20,Sabina Bayón Casas,sabinabayoncasas@tecnologiasdalmaus.c.p.com.es,Coordinador de Ventas,Tecnologías Dalmau S.C.P,Educación,Micro,Formulario,0,0,0,False,False,Perdido,30,0,30,Cold Lead
21,Ileana Cloe Font Mesa,ileanacloefontmesa@pereayrioss.l.n.e.es,Gerente de Ventas,Perea y Ríos S.L.N.E,Salud,Pyme,Evento,50,7,2,False,False,Perdido,25,17,42,Warm Lead
22,Azeneth Huguet Gomila,a.azenethhuguetgomila@manufacturasels.a.t..com,Marketing Manager,Manufacturas EL S.A.T.,Retail,Micro,Web,3,2,2,False,False,Convertido,20,5,25,Cold Lead
23,Paulino Barral Granados,paulinobarralgranados@bancodmis.a.t..com.es,Sales Manager,Banco DMI S.A.T.,Educación,Micro,Linkedin,11,0,0,False,False,Perdido,20,10,30,Cold Lead
24,Porfirio Suárez Herrero,porfiriosuarezherrero@noemiramirezfalcons.a..com.es,Analista de Marketing,Noemí Ramírez Falcón S.A.,Educación,Enterprise,Linkedin,26,10,4,False,False,Perdido,25,20,45,Warm Lead
25,Felicidad Roda Reig,felicida@rosariobalaguercabellos.a..com,Gerente de Producto,Rosario Balaguer Cabello S.A.,Salud,Pyme,Email,41,4,3,False,False,Convertido,35,14,49,Warm Lead
26,Rosalía Canales Ibarra,rosaliac@finanzasdelnortes.a..com,Sales Manager,Finanzas del Norte S.A.,Tecnología,Micro,Cold Call,16,2,1,False,False,Perdido,30,12,42,Warm Lead
27,Emilio Sevillano Iborra,emiliosevillanoiborra@supermercadosfhcas.a..com,Director Comercial,Supermercados FHCA S.A.,Finanzas,Enterprise,Email,35,4,0,False,False,Perdido,50,14,64,Warm Lead
28,Celso del Torralba,celsodeltorralba@ignacioquerobarrals.a..com.es,Director Comercial,Ignacio Quero Barral S.A.,Salud,Pyme,Web,45,5,1,False,False,Perdido,35,15,50,Warm Lead
29,Guiomar Lara Sanz,g.guiomarlarasanz@suministrostorrecilla&asociadoss.a..com,Director de Ventas,Suministros Torrecilla & Asociados S.A.,Tecnología,Enterprise,Linkedin,0,1,0,False,False,Perdido,50,1,51,Warm Lead
30,Ambrosio Barrera,ambrosiobarrera@barcelo&asociadoss.coop..com,Gerente Comercial,Barceló & Asociados S.Coop.,Educación,Micro,Email,9,4,0,False,False,Perdido,20,13,33,Cold Lead
31,Ágata Criado,agatacri@familiaestevezs.a..com,Director de Operaciones,Familia Estevez S.A.,Finanzas,Micro,Email,15,1,1,False,False,Perdido,40,11,51,Warm Lead
